video_id,title,description,tags
7444a2ce14b3a95644df679b775e171a,Антон Протеинов I #30 I Как всегда быть в форме,"Антон Протеинов раскрыл секрет, как быть в форме и нравиться абсолютно всем женщинам, даже пожилым. Антон находится на грани провала, хоть и делает вид, что всё идет по плану. Удастся ли ему доказать, что он тот самый мужчина мечты? Ответ на этот вопрос узнаешь в этой серии!",Массовая культура: Юмор и сатира
d9449be5fa539fd552848a45f25e20c3,"Команда ""ddKaba"" в ГрандТуре-2022: Пермь","Команда прибыла в город Пермь, задание в котором посвящено теме «Патриотика». Пермская художественная галерея в годы Великой Отечественной войны сохранила у себя бесценные коллекции Русского музея и Третьяковской галереи. В тяжелейшее для страны время сотрудники музея смогли сберечь произведения искусства, несмотря на все сложности военного времени.  В настоящее время собрание галереи насчитывает более 60 000 единиц хранения, и это один из крупнейших региональных художественных музеев России. Участники команды побывали на экскурсии, которую провела президент Музея, Надежда Владимировна Беляева. Аккаунт команды в Rutube - / ………… ГрандТур «Байкальская миля 2022. Места силы» - это грандиозное автопутешествие, состоявшееся с 20 февраля по 9 марта. В этом пробеге приняли участие 14 команд, стартовавших из Санкт-Петербурга, Москвы, Казани и Владивостока и финишировавших в селе Максимиха, месте проведения Фестиваля скорости «Байкальская миля». Каждая команда получила свой уникальный маршрут и по 6 заданий, разделенных на темы: «География», «Патриотика», «Экология», «Общество», «Моя «Байкальская миля» и «Самостоятельное задание», в рамках которого участники могли рассказать своим зрителям о том, что считают нужным и важным. #baikalmile2022 #ГрандТурБайкальскаяМиля2022 #местасилы #энтузиастыскорости #гкфск #байкальскаямиля #baikalmile #водоходъ #rutube #мотовесна #finecustommechanics #fire_center #РГО #бурятиябольшечембайкал #МузейПобеды #ркспорт","Путешествия, События и достопримечательности: Исторические места и достопримечательности"
6a6c8bb16e1e1b5dbaf0eaaa4802b544,Артмеханика. Интервью. Руслан Вяльцев.,Кто такой NFT художник? Почему коллекционеры покупают NFT за бешеные деньги?,"Информационные технологии, Экономика: Валюты"
cdc90d477196018169ed2f809be30abe,Тяпа | #23 | ЧЕРНОБЫЛЬ ВИДИТ ИНОПЛАНЕТЯН. ТЯПА СПАСАЕТ ДРУГА,"Чиля с Тяпой за гаражами, Чернобыль неожиданно для себя обнаруживает за собой слежку. Еще большую таинственность этому придает то, что его преследователь – инопланетянин! С какой целью он мог понадобиться инопланетному разуму и сможет ли Тяпа спасти своего друга – вы узнаете, посмотрев эту серию.",Массовая культура: Юмор и сатира
0ea016128113476c741eba66ecbb5f0a,Роман Юнусов и артист Black STAR SLAME чуть не утонули,"В новом выпуске шоу «Спортивный Интерес» Рома Юнусов и популярный исполнитель SLAME под присмотром многократной призёрки чемпионатов мира будут учиться технике правильного вхождения в воду, чтобы плавать, как профи. Сухим в этот раз точно никто не уйдет, смотрите сами!",Массовая культура: Юмор и сатира
7bdebb5a9ab141b4a9a27035489bfc21,Какова Меркурия? | Выпуск 16,"Женя вместе с комиками и астрологом выясняют знак зодиака приглашенного гостя, кто победит и заберёт денежный приз - смотрите в сегодняшнем выпуске.",Религия и духовность: астрология
58be8881640161228e3e691b00a11bd2,«МузЛофт-Подкаст» с Сарухановым — 20 ноября в 15:00!,"Подписывайся, чтобы не пропустить!","Массовая культура, Музыка и аудио"
e4866b698e4945edeeded3e2189f032c,"Такой расклад. Эфир 42 | Руны | Ответы на ваши вопросы о том, что волнует здесь и сейчас",В этом выпуске «Такой расклад» отвечать на вопросы зрителей будет рунолог Артём Ястребов в компании ведущего Сергея Терре. Включайте прямой эфир в 20:00! Вопросы на любые темы можно задавать в чате во время трансляции и по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_152306,Религия и духовность: астрология
211ab5a9e9c2a5eb0cd6b839e7a58abd,Тот самый мент I Выпуск 28 I Остановил дефицит сахара,"Подпишись на самый аппетитный кулинарный канал «Максим Народный» /  Максим Константинович обнаружил, что в городе жесткий дефицит сахара. Он точно знает, что за этим кто-то стоит. Сначала мент уверен, что «сладенький» парень выведет их на след, а затем находит новых подозреваемых! В конце серии Мент выходит на след Чернобыля, который явно в этом замешан, иначе как ему гнать самогон? Чернобылю удается договориться с начальником и выйти «сухим из воды».",Массовая культура: Юмор и сатира
81398158d594839468bc1f5fe29ed978,Музлофт-Подкаст | Виктор Салтыков. Конфликты с братками. История жизни от 80-х по настоящее время,"Описание выпуска	Виктор Салтыков - человек, без которого не обходится ни одна дискотека 80-х, 90-х да и вообще любой концерт. Хит «Белая ночь» в нашей стране знают миллионы, поэтому усаживайтесь по удобнее, включайте звук на максимум и окунайтесь в беззаботное прошлое, когда вам было шестнадцать.  00:00 В этом выпуске 01:05 Группа «Форум» - «Белая ночь» 05:19 Кто поёт выше Преснякова 05:35 Никогда не проси петь меня эти песни 08:51 О популярности группы «Форум» 09:17 Как начинала карьеру Ирина Аллегрова 10:58 О стилях, жанрах и искусственном интеллекте 13:19 С кого брал пример Виктор Салтыков 14:19 Сколько стоит снять клип 15:31 Виктор Салтыков – «В магазине игрушек» 19:39 Чья песня «Спасибо за день, спасибо за ночь» 20:58 Mariah Carey - Without You 23:00 Лариса Долина - «Погода в доме» 23:52 Михаил Боярский - «Спасибо, родная» 25:44 Музыка, которая не надоедает 28:04 Каверы - вторая жизнь старых песен 30:13 The Beatles - Blackbird 34:48 Попурри The Beatles Greatest Hits 38:15 Ленинградский Институт Изучения Женского Тела 39:37 Группа «Демокритов колодец» и Ленинградский рок-клуб 41:55 Мы сделали «Кино», «Аквариум» и «Зоопарк» 42:29 Александр Назаров: «Найдите мне этого парня!» 44:05 Александр Морозов: «Кого ты мне привёл?» 44:26 Случай в туалете 46:04 Студенческая практика на РЖД 47:12 Группа «Электроклуб» - «Улетели листья» 51:36 История песни «Улетели листья» 54:07 Драка на корпоративе у бандитов 56:54 О современной музыке и проекте «СуперСтар» 58:45 HammAli & Navai - «Птичка» 01:02:23 Дима Билан – Я просто люблю тебя 01:06:50 Виктор Салтыков о новом альбоме 01:07:49 Виктор Салтыков - «Осень»","Массовая культура, Музыка и аудио: Разное (Музыка и аудио)"
