video_id,title,description,tags
5344722741638134ccf02c52e943c398,"МУЗЛОФТ-Подкаст | Алексей Гоман. Про идеальную бывшую жену, песни СССР и критику от Киркорова","В гостях нового выпуска настоящий «Народный артист», музыкант, актер, композитор, исполнитель и вообще человек-музыка - Алексей Гоман. Алексей поделился информацией о своем новом проекте, рассказал о дружбе с другими звездами и пел, пел, пел.  00:00 В этом выпуске 01:00 Маленький оркестр – «Ваши руки пахнут апельсином» 06:42 Время объятий и благодарностей 06:57 Как познакомились Гоман и Ярушин 07:36 История песни «Ваши песни пахнут апельсином» 09:10 Истории про Юрия Антонова 11:35 Краткая биография Веры Инбер от Гомана 12:51 Как писал стихи Гумилев 13:44 Маленький оркестр – «Еще не раз вы вспомните меня» 16:00 Принципиальность поэта Ваншенкина 17:55 Эдуард Хиль – «Вода, вода, кругом вода» 21:20 Влияние времени на музыку 22:48 Трагичная судьба Анатолия Королева 24:00 Анатолий Королев – «Парень с песней шел по свету» 26:10 Как стал победителем «Народного артиста» 28:12 Как выступал перед посолом Франции в Томске 28:50 Работа в азербайджанском ресторане 29:46 Михаил Боярский – «Спасибо, родная» 32:14 Разногласия с продюсером на «Народном артисте» 33:25 Как разошлись пути с Александром Панайотовым 35:20 Ярушин с Чумаковым на фестивале у Агутина 36:20 Алексей Гоман – «Русский парень» 39:56 Как ушел от продюсера и начал сольную карьеру 40:30 Нужно ли раскручивать песни 42:33 Любовь Басты к советской музыке 43:32 Станислав Пожлаков – «Ребята 70-й широты» 47:30 Как Гоман написал музыку для сериала 48:00 Как много песен пишет Гоман 48:30 Алексей Гоман – «Песня про проститутку» 50:05 Алексей Гоман – «Песня про французского эмигранта» 53:25 Алексей Гоман – «Это спасение» 56:12 Зачем ушел в актерство 59:00 Отличие американских и русских музыкантов 01:00:22 Большая любовь к съемкам 01:00:56 Живопись как хобби 01:02:00 Где себя еще хочет попробовать Гоман 01:03:44 Любимый саундтрек Гомана 01:06:10 Алиса Фрейндлих – «У природы нет плохой погоды» 01:08:40 Как придумывали имя ребенку 01:11:20 Музыкальный дуэт с бывшей женой 01:12:20 Обменял бы жизнь артиста на свою детскую мечту 01:14:55 Всеволод Старозубов – «Чары»","Музыка и аудио: Комедия и стендап (Музыка и аудио), События и достопримечательности: Концерты и музыкальные мероприятия"
6394a651a3ad162a6fefe0aa033699f6,"Команда ""3/21"" в ГрандТуре-2022: ""Турина гора""","Художественная мастерская народных промыслов Алтая  ""Турина гора"" находится в городе Барнаул. Здесь есть огромнейшая коллекция художественных изделий, изготовленных в самых разных техниках. Множество изделий отражают природу Алтая, восхищающую своей красотой каждого наблюдателя. Участник команды и сами попробовали себя в роли художников - так что теперь байкальская нерпа и ГрандТур ""Байкальская миля 2022. Места силы"" запечатлены на керамических тарелках. Аккаунт команды в Rutube - / ………… ГрандТур «Байкальская миля 2022. Места силы» - это грандиозное автопутешествие, состоявшееся с 20 февраля по 9 марта. В этом пробеге приняли участие 14 команд, стартовавших из Санкт-Петербурга, Москвы, Казани и Владивостока и финишировавших в селе Максимиха, месте проведения Фестиваля скорости «Байкальская миля». Каждая команда получила свой уникальный маршрут и по 6 заданий, разделенных на темы: «География», «Патриотика», «Экология», «Общество», «Моя «Байкальская миля» и «Самостоятельное задание», в рамках которого участники могли рассказать своим зрителям о том, что считают нужным и важным. #baikalmile2022 #ГрандТурБайкальскаяМиля2022 #местасилы #энтузиастыскорости #гкфск #байкальскаямиля #baikalmile #водоходъ #rutube #мотовесна #finecustommechanics #fire_center #РГО #бурятиябольшечембайкал #МузейПобеды #ркспорт","Путешествия, События и достопримечательности: Исторические места и достопримечательности"
150e3b7254432e67843b8de3ab38a182,Свидание с прицепом. Маша Малиновская и сын Мирон,"Кредитная карта Альфа-Банка с годом без % и бесплатным снятием наличных. Оформите онлайн и получайте суперкэшбэк рублями каждый месяц :   Главными героями новой серии шоу «Свидание с прицепом» стали легендарная телеведущая Маша Малиновская и её сын Мирон. Из шести претендентов он отобрал для своей мамы лучшего, но согласится ли звезда отправиться на свидание с этим счастливчиком за пределами студии?",Массовая культура: Юмор и сатира
5a59d4150c426269e2df4ca41e8b5438,Женсовет | Выпуск 25 | Что с лицом? Честно о косметологии,"«А что с лицом?» — боится услышать каждая из нас, после похода к косметологу. В новом выпуске Женсовета развенчиваем все популярные мифы о косметологических процедурах, а также воспитываем здоровые ожидания от собственного лица вместе с ведущими и приглашенным гостем — косметологом.",Стиль и красота: Красота: Макияж
9ec08b22c92b1b7f36bbd999b1cfa518,Гейм разбор. Выпуск №7 - Farming Simulator 2022 - реакция фермеров,В этом выпуске семейная пара фермеров реагируют на Farming Simulator 2022. Как выглядит фермерское хозяйство в России? Похожа ли техника из игра на реальную? Чем отличается жизнь фермера? Ответы на эти вопросы вы найдете в седьмом эпизоде шоу «Гейм разбор».,Игры: Жанры видеоигр: Симуляторы
ccb75f5a05b93481fe95d0de668f7adb,Стендап гороскоп: Руслан Мухтаров про Водолеев,"В новом выпуске шоу «Стендап гороскоп» Руслан Мухтаров расскажет каково быть Водолеем-Батей, и с чем придется столкнуться Водолеям в Новом году!","Религия и духовность: астрология, События и достопримечательности: Комедия и стендап"
034753227cf7772245e3fa97c5274932,"Артмеханика. Игра ""Лицо рекламы"".","Игра ""Лицо рекламы""","Массовая культура, Карьера"
4f87f052e7e0a2718e3c051261417829,Пробы | Выпуск 6 | Диагноз-Любовь,Новая группа актеров пробуется на роль в медицинской любовной драме от режиссёра Геры Теплого.,Массовая культура: Юмор и сатира
7b02129a2b38763399df6611fcdfcfd1,Смешная история | Выпуск 8,"Новый выпуск «Смешной истории»! Где-то правда, где-то смешно!",Массовая культура: Юмор и сатира
c5daa0950c3fd51a1f82b75d05cd637b,Отмена культуры: Выпуск #5. Драматург смотрит TikTok,Вместе с экспертом Галиной Вельской разбираем TikTok как явление. Возможность любого человека стать автором цифрового контента и выразить себя. Обесценивание кинематографа и телевидения. Засилие интернета людьми без таланта и мастерства.,Массовая культура
5fe16aa2869667bc1519e32a4c536b26,"Злые языки | Выпуск 3, Сезон 1 | Эксклюзив Надин о личной жизни","Гость выпуска – Надин Серовски. Ей предстоит ответить на слухи о романе с женатым мужчиной и собственном разводе, об инфоцыганстве и обмане людей, о запредельной стоимости рекламы на её страницы, новых квартирах и последнем расставании.",Массовая культура:Отношения знаменитостей: Семьи знаменитостей
806e572c94adf5e4deb8041d8f094d91,ВЫПУСК №2 НЕУДОБНЫЙ СТЕНДАП,"Андрей Колмачевский, Кирилл Касумов и Настя Веневитина выступят возле вокзала, в трамвае и в салоне красоты. Кто унесёт все деньги и любовь случайных зрителей, а кто уйдёт ни с чем - смотрите в этом выпуске Неудобного Стендапа!",Массовая культура: Юмор и сатира
102bb472ee65363449aa48b60a4febdf,Тяпа | #35 | ПОСАДИЛИ ВСЁ!  ДЕД ДОВОЛЕН!,"Огород, картошка, рок-н-ролл – Тяпа, Чернобыль и их девушки едут в деревню! Дед Лизы покажет им настоящую сельскую жизнь – от посадок и модной одежды до настоящего самогона.",Массовая культура: Юмор и сатира
bef1531fa736b146c2585f2ce4c56afb,"Мама 21 века| 2 сезон, 1 выпуск | Материнский капитал","После появления в семье ребенка родителям полагается материнский капитал. У кого есть право его получить, как это сделать и какую сумму составляет выплата в 2022 году? Подробно об этом расскажет Марина Дворникова в сегодняшнем выпуске “Мама 21 века”.",События и достопримечательности: Личные события: Рождение ребенка
e678874bbd502cc744b757e1bd37c563,Под другим углом | Выпуск 2 | Полимеры,"Из чего делают пластик? А резину? Что такое полимеры? А бумага - тоже полимер? В этом выпуске мы окунёмся в мир гигантских макромолекул! Они окружают нас повсюду и даже создают основу жизни! Сначала мы спросим мнение прохожих, а потом ответим на вопросы расскажем об удивительном мире полимеров","Наука: Химия, Образование	Онлайн-образование"
fb11e767bbc2c8fcce5ee783f4402d6a,Yunan MotoTour в ГрандТуре «Байкальская миля 2021». Красноярск,Команда Yunan MotoTour побывала на Красноярской ГЭС - второй по мощности электростанции в России.,"Путешествия, Транспорт, События и достопримечательности: Исторические места и достопримечательности"
dc3208fcb51770a0089170718ebfaabf,Наше дело - помогать. В гостях у дома трудолюбия «Ной».,"Наше дело помогать тем, кто в этом нуждается. Артур Арутюнян и бойцы промоушена «Наше дело» Шамиль Солтанбеков и Эдуард Кузьминов в преддверии Нового года посетили один из сети домов трудолюбия организации «Ной» - приют «Заозерный». Там проживают старики, инвалиды, мамы с детьми, оказавшиеся без крыши над головой и нуждающиеся в помощи каждого из нас. Если вы хотите оказать помощь людям, которые по разным причинам оказались без крова, но полны решимости изменить свою жизнь к лучшему, вы можете воспользоваться реквизитами указанными на сайте организации «Ной». Ссылка на реквизиты / Реквизиты для безналичного перевода пожертвований на счет некоммерческой организации МРОО ""Дом Трудолюбия Ной"" Расчетный счет: 40703810038000069721 Банк: ПАО СБЕРБАНК БИК: 044525225 Корр. счет: 30101810400000000225  МРОО ""Дом Трудолюбия Ной"" ИНН: 7733191609 КПП: 773301001 ОГРН: 1147799000766  В назначение платежа пожалуйста (обязательно!) укажите:  ""Благотворительное пожертвование на уставные цели. НДС не облагается.""  YouTube канал Наше дело -  Instagram Артура  -   Instagram Била  -  Сотрудничество - email  Реклама - email  Хочешь попасть в Шоу Наше Дело? - Присылай заявку на почту email  (В заявке необходимо указать: ФИО, рост, возраст, вес, гражданство, город, фото, ссылка на instagram, телефон)  #НашеДело","Массовая культура, Спорт"
87bc0a1d246ed6c72b77da2f9d277054,Женский труд | Дачный пыл красоток | Выпуск 25,Две красотки за тридцать тысяч рублей пытаются сделать дачные стульчики.  По вопросам рекламы пишите на email  18+,"Массовая культура, Хобби и интересы: Декоративно-прикладное искусство"
1139cb90feffbb3b435cb720f8e7c426,TikTok Дайджест I Спецвыпуск #3 I Анохина сняла ужастик? | Карина Кросс актриса?,"Продолжаем знакомиться с повелителями лайков в TlkTok! На этот раз, ведущая расскажет про жизнь Лизы Анохиной, Карины Кросс и Юли Гаврилиной. Интересные факты о блогерах в новом спецвыпуске!",Массовая культура: Отношения знаменитостей
